53,568,ev2prb60,al111584,37999/01556,II,---,21/01/2022,24/01/2022,3,22,3.14,10,4.50,2.87,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0,0
51,569,ev2prb60,al111584,37999/01556,II,---,21/01/2022,24/01/2022,3,22,4.25,10,6.00,2.82,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_COMPUTE_BILA,0,0
54,554,sakkara,al124543,38199/01490,III,---,21/01/2022,24/01/2022,3,23,13.69,17,1.16,2.43,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_STORAGE,3,2.4295833333333334
52,555,sakkara,al124543,38199/01490,III,---,21/01/2022,24/01/2022,3,23,43.72,73,1.15,1.18,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_STORAGE,0,0
61,528,atlas,al008359,98500/01907,V,---,22/01/2022,23/01/2022,1,1,3.93,138,0.30,0.84,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.83625
60,529,atlas,al008359,98500/01907,V,---,22/01/2022,23/01/2022,1,1,3.06,138,0.23,0.87,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
59,530,atlas,al008359,98500/01907,V,---,22/01/2022,23/01/2022,1,2,2.06,138,0.30,0.91,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
58,531,atlas,al008359,98500/01907,V,---,22/01/2022,23/01/2022,1,2,3.33,138,0.38,0.86,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
70,557,atlas,al008359,98500/01907,II,---,21/01/2022,21/01/2022,0,2,8.40,74,1.10,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
63,572,rubicon,al121332,38199/01907,V,---,21/01/2022,22/01/2022,1,12,11.72,119,0.63,0.51,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.5116666666666666
62,573,rubicon,al121332,38199/01907,V,---,21/01/2022,23/01/2022,2,12,11.72,119,0.63,1.51,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0.5116666666666666
96,510,rubicon,al121332,38199/01907,III,---,15/01/2022,17/01/2022,2,12,18.71,119,0.75,1.22,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,2,1.2204166666666667
108,506,rubicon,al121332,38199/01907,III,---,15/01/2022,17/01/2022,2,12,11.57,119,0.75,1.52,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,0,0
65,574,rubicon,al108558/70,37013/01883,IV,---,21/01/2022,22/01/2022,1,2,25.69,231,0.67,0.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,1,0
178,439,rubicon,al108558/70,37013/01883,III,---,03/01/2022,05/01/2022,2,5,34.09,61,0.70,0.58,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_NANO_IC,2,0.5795833333333332
66,575,ganrf2,p212742/2,98800/01369,V,---,21/01/2022,22/01/2022,1,2,2.69,22,0.89,0.89,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_HS_ANALOG_RF,1,0.8879166666666666
90,511,ganrf2,p212742/2,98800/01369,IV,---,14/01/2022,18/01/2022,4,17,26.80,0,1.04,2.88,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_HS_ANALOG_RF,4,2.8833333333333333
134,464,ganrf2,p212742/2,98800/01369,III,---,11/01/2022,12/01/2022,1,15,16.75,53,0.73,0.30,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_HS_ANALOG_RF,1,0.3020833333333333
141,465,ganrf2,p212742/2,98800/01369,III,---,11/01/2022,13/01/2022,2,15,23.99,53,0.71,1.00,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_HS_ANALOG_RF,1,0.0004166666666667318
77,541,triton,al120378,37999/01132,V,---,19/01/2022,20/01/2022,1,4,5.28,41,0.98,0.78,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.7799999999999999
75,542,triton,al120378,37999/01132,V,---,19/01/2022,20/01/2022,1,4,5.28,41,0.98,0.78,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
74,543,triton,al120378,37999/01132,V,---,19/01/2022,21/01/2022,2,4,6.38,22,1.16,1.73,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.7341666666666667
73,544,triton,al120378,37999/01132,V,---,19/01/2022,21/01/2022,2,4,6.46,22,1.17,1.73,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
71,545,triton,al120378,37999/01132,V,---,19/01/2022,21/01/2022,2,11,4.06,11,1.00,1.83,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
69,546,triton,al120378,37999/01132,V,---,19/01/2022,21/01/2022,2,11,3.28,5,0.95,1.86,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
68,547,triton,al120378,37999/01132,V,---,19/01/2022,21/01/2022,2,11,3.28,5,0.95,1.86,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,0,0
67,548,triton,al120378,37999/01132,V,---,19/01/2022,22/01/2022,3,11,4.06,11,1.00,2.83,(days/wfrs/hrs/ndies/t_ratio/d_wait),P_CMOS_DEVICE,1,0.8308333333333334
